                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    5 Nov 2022 15:41:05
Satellite-FINCH


      Time (UTCG)             x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)   
5 Nov 2022 16:29:00.000    -1761.721761     1817.834113     6387.738403    -1761.715489     1817.826596     6387.742272     1045.840807     2311.782545     6385.394647     1019.841146     2317.059479     6387.687041     1019.841209     2317.059466     6387.687036     1020.135611     2316.788242     6387.738403     1020.135625     2316.788224     6387.738407     1102.636611     2299.770345     6380.175169     1020.001532     2316.847264     6387.738407     1020.001496     2316.847292     6387.738403    -1977.586789     1580.280447     6387.742209     1045.842210     2311.782761     6385.394339
5 Nov 2022 16:30:00.000    -1909.996967     2218.735967     6216.090021    -1909.990864     2218.728652     6216.094507     1351.030300     2604.449315     6213.067982     1323.913189     2611.282582     6216.036519     1323.913256     2611.282565     6216.036511     1324.220381     2610.999442     6216.090021     1324.220397     2610.999422     6216.090026     1410.238735     2589.010902     6206.359812     1324.069275     2611.076061     6216.090026     1324.069233     2611.076094     6216.090021    -2183.952572     1949.659872     6216.094465     1351.031666     2604.449525     6213.067597
5 Nov 2022 16:31:00.000    -2046.428333     2611.156631     6016.995998    -2046.422426     2611.149551     6017.001080     1650.270743     2885.649021     6013.308982     1622.155746     2894.008532     6016.940590     1622.155818     2894.008510     6016.940581     1622.474312     2893.714738     6016.995998     1622.474328     2893.714717     6016.996003     1711.630748     2866.852376     6005.141659     1622.306843     2893.808618     6016.996003     1622.306797     2893.808655     6016.995998    -2380.702804     2310.454742     6017.001060     1650.272065     2885.649224     6013.308522
5 Nov 2022 16:32:00.000    -2170.496740     2993.265601     5791.325455    -2170.491055     2993.258786     5791.331108     1942.241855     3154.138920     5786.989704     1913.252969     3163.987853     5791.268386     1913.253046     3163.987827     5791.268375     1913.581503     3163.684701     5791.325455     1913.581521     3163.684679     5791.325461     2005.482807     3132.066844     5777.399205     1913.398409     3163.795429     5791.325461     1913.398358     3163.795471     5791.325455    -2566.967405     2661.072690     5791.331113     1942.243127     3154.139115     5786.989170
5 Nov 2022 16:33:00.000    -2281.752444     3363.271744     5540.064944    -2281.747005     3363.265224     5540.071142     2225.654188     3408.730978     5535.099564     2195.919305     3420.025932     5540.006467     2195.919387     3420.025901     5540.006453     2196.256359     3419.714760     5540.064944     2196.256377     3419.714738     5540.064951     2290.497083     3383.480737     5524.128152     2196.058447     3419.841848     5540.064951     2196.058391     3419.841894     5540.064944    -2741.921543     2999.964710     5540.071174     2225.655405     3408.731165     5535.098959
5 Nov 2022 16:34:00.000    -2379.816744     3719.431787     5264.314484    -2379.811575     3719.425592     5264.321197     2499.254812     3648.297164     5258.741363     2468.905158     3660.988348     5264.254855     2468.905244     3660.988312     5264.254840     2469.249243     3660.670530     5264.314484     2469.249263     3660.670506     5264.314491     2565.413484     3619.980074     5246.437407     2469.037386     3660.813416     5264.314491     2469.037325     3660.813467     5264.314484    -2904.789334     3325.631995     5264.321257     2499.255968     3648.297342     5258.740691
5 Nov 2022 16:35:00.000    -2464.383322     4060.058694     4965.283065    -2464.378447     4060.052851     4965.290262     2761.832890     3871.774568     4959.126783     2731.002450     3885.806009     4965.222547     2731.002540     3885.805969     4965.222530     2731.352049     3885.482949     4965.283065     2731.352069     3885.482925     4965.283072     2829.015263     3840.515519     4945.544546     2731.127180     3885.641004     4965.283072     2731.127115     3885.641059     4965.283065    -3054.847381     3636.632628     4965.290352     2761.833980     3871.774736     4959.126045
5 Nov 2022 16:36:00.000    -2535.219208     4383.529874     4644.283620    -2535.214648     4383.524409     4644.291267     3012.225129     4078.170272     4637.571340     2981.050061     4093.480061     4644.222481     2981.050155     4093.480016     4644.222461     2981.403629     4093.153185     4644.283620     2981.403650     4093.153160     4644.283628     3080.134505     4044.107187     4622.770752     2981.166740     4093.325712     4644.283628     2981.166671     4093.325772     4644.283620    -3191.428118     3931.588101     4644.291389     3012.226149     4078.170429     4637.570540
5 Nov 2022 16:37:00.000    -2592.165344     4688.295156     4302.727484    -2592.161120     4688.290093     4302.735546     3249.321053     4266.565927     4295.488834     3217.939084     4283.086485     4302.665994     3217.939181     4283.086434     4302.665972     3218.295059     4282.757238     4302.727484     3218.295081     4282.757213     4302.727492     3317.657414     4229.849165     4279.535227     3218.047197     4282.943475     4302.727492     3218.047123     4282.943539     4302.727484    -3313.922914     4209.189573     4302.735700     3249.321998     4266.566072     4295.487976
5 Nov 2022 16:38:00.000    -2635.136764     4972.884487     3942.118385    -2635.132894     4972.879848     3942.126824     3472.068074     4436.122022     3934.385332     3440.617895     4453.780395     3942.056816     3440.617994     4453.780340     3942.056791     3440.974703     4453.450233     3942.118385     3440.974725     4453.450207     3942.118394     3540.529412     4396.913726     3917.349157     3440.716962     4453.649357     3942.118394     3440.716883     4453.649426     3942.118385    -3421.784918     4468.203871     3942.127013     3472.068939     4436.122155     3934.384419
5 Nov 2022 16:39:00.000    -2664.122393     5235.915328     3564.045981    -2664.118894     5235.911134     3564.054758     3679.476344     4586.081848     3555.852686     3648.096993     4604.800026     3563.984603     3648.097095     4604.799966     3563.984577     3648.453057     4604.470408     3564.045981     3648.453081     4604.470383     3564.045990     3747.759996     4544.555231     3537.809205     3648.186576     4604.681541     3564.045990     3648.186494     4604.681613     3564.045981    -3514.531675     4707.479198     3564.054981     3679.477126     4586.081968     3555.851722
5 Nov 2022 16:40:00.000    -2679.184469     5476.099698     3170.178923    -2679.181357     5476.095967     3170.187998     3870.623352     4715.775107     3161.561597     3839.453598     4735.470367     3170.118010     3839.453702     4735.470302     3170.117981     3839.807344     4735.142752     3170.178923     3839.807368     4735.142726     3170.178933     3938.427346     4672.113695     3142.590553     3839.533300     4735.364959     3170.178933     3839.533214     4735.365036     3170.178923    -3591.747460     4925.950499     3170.188258     3870.624048     4715.775214     3161.560587
5 Nov 2022 16:41:00.000    -2680.457556     5692.250770     2762.257511    -2680.454844     5692.247519     2762.266841     4044.658213     4824.621132     2753.254250     4013.835937     4845.206401     2762.197330     4013.836043     4845.206331     2762.197300     4014.185800     4844.882238     2762.257511     4014.185824     4844.882212     2762.257521     4111.682611     4779.017955     2733.439516     4013.905404     4845.114538     2762.257521     4013.905315     4845.114618     2762.257511    -3653.085310     5122.644442     2762.267137     4044.658818     4824.621225     2753.253198
